customer_id,mrr,plan,contracting_date,segment,interaction_date,interaction_type,nps_last_research,event_date,logins_last_week,finished_tasks,active_users,num_opened_tickets,API Access,Advanced Reports,Attachments,Automations,Comments,Dashboards,Permission Control,Project Creation,SSO,Task Creation,weeks_since_last_interaction,tenure_in_years,weeks_since_last_usage_extraction
1,185.47,Pro,2021-05-18,Mid-Market,2022-05-07,Suporte Técnico,,2023-12-09,20.5,63.5,6.0,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,238.0,5.539936102236421,155.0
2,1558.07,Enterprise,2023-06-24,Enterprise,,,,2026-06-03,22.0,70.6,9.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,3.4387405886379194,25.0
3,1072.58,Enterprise,2023-03-05,Enterprise,2025-07-13,Reunião QBR,10.0,2023-08-22,36.5,54.0,10.5,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,72.0,3.7426420260095825,171.0
4,218.26,Pro,2020-10-31,Mid-Market,2023-06-19,Email de Acompanhamento,5.0,2023-09-21,22.25,26.0,12.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,180.0,6.0829096597575285,166.0
5,417.91,Pro,2023-10-14,Enterprise,,,,2026-06-13,32.75,57.75,14.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,3.132101300479124,24.0
6,147.79,Pro,2022-11-19,Mid-Market,2023-10-31,Suporte Técnico,,2025-09-30,31.2,60.8,10.8,0.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,161.0,4.033406352683461,61.0
7,110.94,Pro,2023-09-28,Mid-Market,2026-08-10,Email de Acompanhamento,0.0,2026-05-03,21.5,64.75,9.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,3.1759069130732374,30.0
8,147.11,Pro,2021-04-03,SMB,,,,2023-11-09,26.8,34.6,12.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,5.663167503423094,159.0
9,1392.91,Enterprise,2020-02-12,SMB,2023-01-06,Reunião QBR,10.0,2022-07-24,15.75,41.75,10.75,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,203.0,6.800156433320297,227.0
10,635.34,Enterprise,2022-12-09,Mid-Market,2023-10-30,Email de Acompanhamento,6.0,2025-10-11,28.0,71.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,161.0,3.9786418400876236,59.0
11,46.9,Basic,2022-12-07,SMB,2025-09-19,Suporte Técnico,,2024-07-04,17.2,44.4,10.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,62.0,3.9841182913472073,125.0
12,329.87,Pro,2022-01-21,Enterprise,2023-09-26,Email de Acompanhamento,,2024-11-11,45.0,58.2,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,166.0,4.860350492880613,107.0
13,65.36,Basic,2022-05-07,SMB,2024-09-27,Email de Acompanhamento,,2025-05-03,19.0,32.8,7.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,113.0,4.570098576122673,82.0
14,69.8,Basic,2022-04-26,Mid-Market,2024-04-02,Email de Acompanhamento,8.0,2024-07-24,21.666666666666668,40.166666666666664,10.666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,139.0,4.600219058050383,122.0
15,74.88,Basic,2023-11-05,Enterprise,,,,2024-06-16,6.0,42.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,3.0718685831622174,128.0
16,837.92,Enterprise,2020-09-18,SMB,2023-07-07,Reunião QBR,5.0,2022-10-23,28.5,55.5,10.166666666666666,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,177.0,6.200625733281189,214.0
17,990.27,Enterprise,2022-04-10,SMB,,,,2025-02-07,36.75,30.0,15.0,1.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,4.644030668127054,94.0
18,377.87,Pro,2020-01-24,SMB,2022-08-19,Email de Acompanhamento,10.0,2022-04-26,23.0,31.6,4.8,0.4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,223.0,6.852170512319124,240.0
19,1229.59,Enterprise,2020-05-20,Mid-Market,2021-12-28,Suporte Técnico,0.0,2022-10-25,28.0,59.6,7.4,2.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,257.0,6.5318732890105595,214.0
20,76.83,Basic,2020-09-02,SMB,2022-07-13,Email de Acompanhamento,,2023-05-28,41.333333333333336,50.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,228.0,6.244427062964411,183.0
21,67.7,Basic,2020-12-18,SMB,2021-08-16,Reunião QBR,8.0,2023-11-23,23.22222222222222,41.44444444444444,11.555555555555555,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,276.0,5.951505670707861,157.0
22,59.93,Basic,2021-10-19,SMB,2023-08-20,Email de Acompanhamento,,2024-05-18,22.0,42.75,8.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,171.0,5.118210862619808,132.0
23,1916.12,Enterprise,2023-12-17,SMB,2026-09-27,Suporte Técnico,1.0,2026-11-19,22.0,51.0,6.125,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,2.9568788501026693,1.0
24,1809.55,Enterprise,2020-02-13,SMB,2021-11-14,Reunião QBR,9.0,2022-11-28,35.2,42.8,13.8,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,263.0,6.797418850215096,209.0
