customer_id,interaction_date,interaction_type,nps_last_research
240,2024-02-28,Reunião QBR,5.0
486,2021-03-11,Email de Acompanhamento,3.0
695,2022-12-23,Reunião QBR,4.0
440,2025-11-30,Reunião QBR,0.0
797,2024-02-05,Suporte Técnico,6.0
614,2023-05-13,Reunião QBR,
578,2025-10-25,Reunião QBR,5.0
261,2024-09-25,Suporte Técnico,10.0
463,2022-01-28,Suporte Técnico,
619,2022-02-22,Reunião QBR,
493,2022-01-28,Suporte Técnico,9.0
738,2024-08-11,Reunião QBR,
123,2022-08-21,Email de Acompanhamento,10.0
892,2023-07-19,Email de Acompanhamento,8.0
766,2023-03-14,Email de Acompanhamento,0.0
541,2022-10-29,Email de Acompanhamento,9.0
666,2024-10-03,Suporte Técnico,0.0
468,2024-09-11,Suporte Técnico,
801,2025-03-25,Suporte Técnico,
335,2021-10-07,Suporte Técnico,3.0
400,2022-09-08,Suporte Técnico,
962,2025-10-24,Suporte Técnico,
787,2025-02-10,Suporte Técnico,5.0
383,2025-01-31,Reunião QBR,
968,2022-07-08,Suporte Técnico,
593,2023-10-05,Reunião QBR,5.0
926,2022-05-05,Suporte Técnico,6.0
590,2022-03-13,Reunião QBR,2.0
297,2025-05-09,Reunião QBR,
320,2025-02-21,Email de Acompanhamento,7.0
957,2024-08-30,Email de Acompanhamento,
274,2020-10-10,Email de Acompanhamento,
37,2025-05-10,Suporte Técnico,9.0
270,2024-04-19,Suporte Técnico,4.0
870,2021-09-23,Reunião QBR,
72,2022-02-20,Suporte Técnico,
65,2023-06-18,Reunião QBR,
875,2024-05-18,Reunião QBR,5.0
74,2024-02-01,Reunião QBR,
543,2025-01-30,Email de Acompanhamento,10.0
760,2021-09-10,Email de Acompanhamento,8.0
138,2021-05-23,Reunião QBR,4.0
263,2022-05-28,Reunião QBR,
646,2024-12-08,Email de Acompanhamento,4.0
140,2024-03-09,Suporte Técnico,
100,2021-05-30,Suporte Técnico,
24,2024-09-28,Reunião QBR,
184,2023-08-20,Reunião QBR,
668,2021-09-04,Email de Acompanhamento,2.0
509,2023-05-15,Suporte Técnico,1.0
424,2023-01-20,Reunião QBR,6.0
630,2025-04-26,Suporte Técnico,
772,2025-12-20,Email de Acompanhamento,1.0
999,2025-02-02,Suporte Técnico,5.0
95,2025-08-06,Reunião QBR,
727,2024-10-26,Suporte Técnico,
912,2023-09-06,Reunião QBR,
952,2022-05-09,Reunião QBR,5.0
290,2024-02-20,Reunião QBR,1.0
838,2023-11-10,Suporte Técnico,
359,2025-10-15,Suporte Técnico,0.0
526,2023-03-12,Suporte Técnico,4.0
65,2022-11-27,Email de Acompanhamento,10.0
30,2023-07-30,Email de Acompanhamento,
291,2024-03-22,Suporte Técnico,2.0
558,2022-09-21,Suporte Técnico,
510,2024-03-19,Suporte Técnico,
923,2023-06-19,Reunião QBR,9.0
481,2025-03-06,Email de Acompanhamento,
437,2022-09-24,Reunião QBR,0.0
126,2024-10-02,Email de Acompanhamento,
645,2023-12-18,Suporte Técnico,4.0
713,2023-12-26,Reunião QBR,
106,2024-10-05,Email de Acompanhamento,7.0
702,2024-06-30,Suporte Técnico,7.0
322,2024-09-24,Email de Acompanhamento,6.0
394,2020-07-05,Email de Acompanhamento,
929,2023-02-24,Suporte Técnico,
604,2025-01-08,Suporte Técnico,
207,2023-07-14,Email de Acompanhamento,
687,2021-06-02,Reunião QBR,1.0
791,2021-07-17,Suporte Técnico,
899,2021-05-19,Email de Acompanhamento,1.0
654,2024-12-22,Reunião QBR,
224,2024-07-04,Email de Acompanhamento,
796,2022-04-12,Email de Acompanhamento,5.0
936,2026-07-12,Reunião QBR,
519,2023-06-27,Suporte Técnico,3.0
522,2023-05-25,Email de Acompanhamento,
301,2025-11-24,Email de Acompanhamento,
625,2021-02-26,Reunião QBR,
362,2024-08-27,Email de Acompanhamento,
269,2024-03-24,Reunião QBR,1.0
361,2023-08-13,Email de Acompanhamento,
842,2023-02-15,Suporte Técnico,2.0
74,2022-09-19,Email de Acompanhamento,
375,2025-05-28,Suporte Técnico,
820,2023-12-05,Suporte Técnico,0.0
464,2022-03-09,Suporte Técnico,
673,2022-05-10,Email de Acompanhamento,3.0
92,2020-09-29,Reunião QBR,
639,2020-06-06,Reunião QBR,
88,2021-02-03,Email de Acompanhamento,
250,2022-02-14,Suporte Técnico,
656,2024-06-21,Reunião QBR,10.0
258,2020-05-12,Suporte Técnico,4.0
979,2024-12-20,Reunião QBR,
147,2022-03-15,Email de Acompanhamento,5.0
497,2023-12-22,Suporte Técnico,7.0
126,2023-07-11,Email de Acompanhamento,
105,2023-04-01,Email de Acompanhamento,4.0
102,2024-02-28,Reunião QBR,6.0
765,2022-08-03,Suporte Técnico,10.0
440,2026-07-04,Reunião QBR,2.0
96,2022-12-27,Email de Acompanhamento,9.0
336,2023-04-21,Reunião QBR,8.0
305,2026-08-05,Suporte Técnico,
209,2025-07-16,Reunião QBR,
934,2023-06-09,Reunião QBR,10.0
488,2021-07-25,Email de Acompanhamento,1.0
645,2023-05-18,Reunião QBR,3.0
668,2021-04-17,Email de Acompanhamento,10.0
345,2023-04-14,Reunião QBR,1.0
780,2024-07-30,Suporte Técnico,10.0
434,2022-02-09,Email de Acompanhamento,
528,2023-11-10,Reunião QBR,5.0
638,2022-12-21,Suporte Técnico,
715,2026-01-29,Suporte Técnico,9.0
58,2023-08-22,Email de Acompanhamento,
134,2025-01-28,Suporte Técnico,1.0
889,2025-10-20,Reunião QBR,
52,2025-03-09,Email de Acompanhamento,3.0
94,2023-10-01,Email de Acompanhamento,0.0
77,2023-05-16,Suporte Técnico,9.0
318,2026-11-10,Email de Acompanhamento,8.0
611,2021-12-23,Email de Acompanhamento,
436,2026-02-19,Reunião QBR,3.0
741,2024-06-14,Suporte Técnico,0.0
643,2024-02-20,Email de Acompanhamento,10.0
386,2025-01-04,Reunião QBR,7.0
291,2025-08-06,Reunião QBR,
106,2024-06-14,Suporte Técnico,6.0
342,2022-04-20,Suporte Técnico,3.0
973,2023-06-10,Email de Acompanhamento,
546,2023-09-23,Suporte Técnico,7.0
537,2023-11-28,Email de Acompanhamento,6.0
338,2022-12-10,Reunião QBR,
143,2024-06-26,Email de Acompanhamento,
480,2020-10-19,Email de Acompanhamento,1.0
84,2023-05-27,Email de Acompanhamento,0.0
172,2024-07-09,Email de Acompanhamento,
805,2022-06-19,Reunião QBR,
99,2023-12-08,Email de Acompanhamento,
587,2021-12-26,Suporte Técnico,2.0
294,2025-10-11,Reunião QBR,10.0
341,2020-09-27,Email de Acompanhamento,
148,2023-02-14,Suporte Técnico,5.0
361,2022-01-29,Reunião QBR,
973,2021-08-26,Email de Acompanhamento,4.0
927,2022-10-25,Suporte Técnico,
156,2021-01-22,Reunião QBR,1.0
8,2023-03-10,Suporte Técnico,3.0
752,2022-02-16,Email de Acompanhamento,7.0
294,2024-11-14,Reunião QBR,
290,2023-11-27,Reunião QBR,
453,2023-04-04,Suporte Técnico,
913,2025-11-20,Email de Acompanhamento,
71,2023-10-15,Reunião QBR,
102,2024-07-02,Reunião QBR,8.0
200,2021-08-29,Email de Acompanhamento,2.0
844,2023-06-16,Reunião QBR,
675,2023-01-01,Suporte Técnico,
630,2024-04-25,Suporte Técnico,9.0
170,2023-04-02,Email de Acompanhamento,
303,2023-06-26,Suporte Técnico,
12,2020-08-28,Suporte Técnico,5.0
20,2022-07-12,Suporte Técnico,
316,2023-02-13,Email de Acompanhamento,
843,2021-07-29,Suporte Técnico,
467,2021-09-28,Reunião QBR,
715,2023-11-13,Email de Acompanhamento,0.0
631,2021-09-03,Reunião QBR,7.0
439,2021-01-29,Email de Acompanhamento,0.0
218,2023-12-04,Suporte Técnico,
515,2026-01-10,Reunião QBR,0.0
833,2021-11-06,Email de Acompanhamento,
328,2025-05-14,Reunião QBR,
75,2023-07-01,Reunião QBR,5.0
379,2023-03-28,Email de Acompanhamento,10.0
447,2024-09-14,Email de Acompanhamento,7.0
352,2023-04-05,Reunião QBR,
881,2022-12-04,Reunião QBR,2.0
940,2020-07-26,Suporte Técnico,7.0
527,2022-02-11,Suporte Técnico,4.0
577,2026-03-22,Suporte Técnico,2.0
401,2023-05-01,Email de Acompanhamento,
110,2024-07-07,Suporte Técnico,
26,2022-12-27,Reunião QBR,0.0
558,2023-01-21,Suporte Técnico,
836,2022-06-22,Reunião QBR,
852,2024-03-07,Reunião QBR,
478,2023-01-28,Email de Acompanhamento,5.0
998,2022-07-09,Suporte Técnico,6.0
638,2021-11-20,Reunião QBR,10.0
721,2021-10-13,Email de Acompanhamento,
484,2021-08-11,Email de Acompanhamento,7.0
98,2025-09-02,Email de Acompanhamento,
149,2023-04-27,Suporte Técnico,9.0
681,2024-06-07,Reunião QBR,5.0
904,2024-08-09,Email de Acompanhamento,0.0
54,2025-01-02,Reunião QBR,5.0
110,2023-11-16,Suporte Técnico,
773,2025-04-09,Reunião QBR,3.0
209,2025-05-11,Reunião QBR,0.0
626,2024-02-16,Email de Acompanhamento,
56,2024-07-03,Email de Acompanhamento,
760,2022-08-16,Reunião QBR,
552,2020-10-03,Reunião QBR,
735,2023-05-01,Email de Acompanhamento,
571,2022-04-08,Reunião QBR,
644,2022-05-26,Email de Acompanhamento,
985,2023-07-10,Email de Acompanhamento,1.0
32,2024-12-11,Suporte Técnico,
87,2022-08-03,Email de Acompanhamento,
797,2024-08-06,Email de Acompanhamento,
939,2023-01-28,Reunião QBR,
836,2022-03-23,Email de Acompanhamento,2.0
961,2022-12-13,Email de Acompanhamento,2.0
564,2023-02-25,Reunião QBR,
30,2025-07-19,Reunião QBR,
139,2025-04-15,Reunião QBR,
734,2022-10-22,Suporte Técnico,
495,2022-06-21,Suporte Técnico,
658,2023-09-06,Reunião QBR,8.0
771,2026-07-17,Suporte Técnico,9.0
522,2023-11-01,Reunião QBR,2.0
72,2022-06-10,Reunião QBR,10.0
840,2023-06-24,Suporte Técnico,7.0
653,2023-08-02,Suporte Técnico,
907,2023-03-15,Suporte Técnico,8.0
265,2022-04-27,Reunião QBR,
75,2021-12-18,Reunião QBR,0.0
710,2022-11-21,Reunião QBR,3.0
56,2023-01-11,Suporte Técnico,
163,2026-07-22,Suporte Técnico,10.0
484,2022-01-15,Reunião QBR,
755,2024-12-01,Reunião QBR,
684,2025-05-13,Suporte Técnico,9.0
570,2024-08-29,Email de Acompanhamento,
314,2026-04-10,Email de Acompanhamento,4.0
634,2024-01-31,Reunião QBR,
436,2024-09-13,Email de Acompanhamento,8.0
15,2024-06-18,Email de Acompanhamento,3.0
463,2021-10-17,Email de Acompanhamento,
149,2022-07-19,Suporte Técnico,
418,2020-06-12,Suporte Técnico,0.0
216,2023-01-11,Suporte Técnico,
225,2023-07-10,Reunião QBR,
438,2022-01-23,Reunião QBR,
17,2023-08-10,Email de Acompanhamento,
786,2025-06-12,Reunião QBR,
958,2020-11-11,Suporte Técnico,
319,2024-06-18,Reunião QBR,6.0
215,2023-05-01,Suporte Técnico,
342,2021-02-28,Reunião QBR,10.0
67,2022-09-13,Suporte Técnico,9.0
818,2022-10-08,Suporte Técnico,
830,2025-02-07,Reunião QBR,0.0
