customer_id,event_date,logins_last_week,projects_created,finished_tasks,active_users,num_opened_tickets,most_used_features
433,2021-11-16,37,9,49,9,0,"Task Creation, Project Creation, Attachments"
972,2023-08-06,13,8,54,10,0,"Task Creation, Attachments, Automations, Dashboards"
64,2023-05-22,29,0,34,16,0,"Comments, Advanced Reports, API Access"
564,2023-04-30,46,10,80,20,5,"Project Creation, API Access"
194,2025-08-22,34,8,10,16,0,"Attachments, Advanced Reports, API Access"
710,2022-04-24,50,7,62,6,0,"Task Creation, Dashboards"
910,2024-11-06,44,9,8,2,0,"Project Creation, Comments"
861,2022-03-24,14,7,10,17,0,"Project Creation, Task Creation"
19,2023-07-03,17,7,50,17,0,"Project Creation, Comments, Attachments"
104,2022-06-29,49,1,1,16,0,Comments
408,2023-09-01,36,0,49,17,0,"Attachments, Automations, Dashboards"
967,2023-09-20,6,6,18,16,0,"Project Creation, Automations"
99,2024-05-02,4,8,43,14,0,"Comments, Attachments, Advanced Reports"
919,2023-11-03,23,2,95,17,0,"Comments, Dashboards, Automations"
716,2023-10-28,47,4,69,9,0,"Task Creation, Attachments, Comments"
487,2021-11-09,31,2,22,6,1,"Task Creation, Automations"
996,2022-04-29,9,9,79,16,0,Task Creation
132,2026-07-12,0,5,42,12,0,"Attachments, Comments, Dashboards"
742,2025-09-24,42,0,72,8,4,"Attachments, API Access"
275,2023-01-16,27,4,100,20,0,"Attachments, Task Creation, Project Creation"
421,2020-08-06,11,3,78,12,1,"Task Creation, Advanced Reports"
329,2021-01-26,47,8,37,20,0,Task Creation
881,2025-05-08,47,3,87,12,4,"Comments, Task Creation, Advanced Reports"
407,2023-07-20,35,6,8,17,0,"Task Creation, Attachments, Permission Control, Dashboards"
994,2021-08-27,42,6,25,4,3,"Comments, API Access"
183,2025-09-08,23,2,86,2,0,"Attachments, Comments, Permission Control, Dashboards"
580,2022-08-17,28,5,16,5,0,"Attachments, API Access"
751,2024-05-29,29,0,73,13,0,"Project Creation, Dashboards"
780,2024-04-29,45,0,88,14,1,"Project Creation, Task Creation, Attachments"
485,2023-01-19,27,0,35,16,0,"Attachments, Task Creation, Project Creation"
335,2023-04-24,12,4,79,1,0,"Task Creation, Project Creation"
179,2023-06-04,25,10,38,3,1,"Project Creation, API Access"
58,2024-08-07,40,8,54,1,0,Attachments
307,2024-05-15,15,9,29,17,0,"Attachments, Comments"
771,2025-12-08,40,0,38,16,0,"Attachments, Dashboards"
922,2021-12-29,23,2,30,1,2,"Attachments, SSO"
67,2023-07-20,42,0,92,1,0,Attachments
86,2026-04-16,34,5,66,7,0,"Project Creation, Automations, Dashboards"
328,2025-06-14,17,9,11,1,3,"Project Creation, API Access, SSO"
106,2023-10-14,50,5,97,15,0,"Task Creation, Dashboards"
714,2021-08-13,25,5,45,17,0,"Project Creation, Automations, Permission Control"
736,2021-03-08,35,1,67,6,0,"Project Creation, Dashboards, Permission Control"
42,2025-03-25,17,9,71,19,0,Task Creation
922,2024-08-17,37,8,52,3,0,"Project Creation, API Access, SSO"
283,2025-02-24,44,10,11,14,2,"Project Creation, Comments, Advanced Reports, SSO"
275,2022-04-17,46,7,8,11,0,Task Creation
399,2023-07-07,9,7,75,16,0,"Project Creation, Attachments, Automations"
339,2023-06-01,47,7,56,4,0,"Comments, Project Creation"
32,2025-02-18,1,4,16,14,0,"Attachments, Comments, Project Creation"
351,2021-10-25,12,7,11,9,2,"Task Creation, Attachments, Permission Control, Dashboards"
997,2023-09-20,39,6,66,12,0,"Attachments, Dashboards"
157,2025-06-14,29,9,5,17,0,"Project Creation, Dashboards, Automations"
666,2024-02-25,11,1,50,6,5,"Comments, Advanced Reports"
682,2022-08-03,28,4,34,1,0,"Attachments, Automations"
709,2022-08-28,15,5,44,1,0,"Attachments, Comments"
971,2022-09-29,22,10,35,13,0,"Comments, Attachments, Automations, Permission Control"
434,2022-11-15,24,8,41,4,0,"Project Creation, Automations"
730,2024-09-15,50,1,52,1,0,"Comments, Permission Control, Dashboards"
327,2022-09-03,20,6,81,20,4,"Comments, Attachments, API Access, SSO"
191,2022-07-22,5,7,88,9,0,"Attachments, Task Creation, SSO, API Access"
117,2023-10-26,45,8,15,6,0,"Attachments, Task Creation"
142,2022-04-22,45,8,63,7,2,"Project Creation, Task Creation, Advanced Reports"
78,2023-06-04,34,1,31,20,0,"Comments, Automations"
490,2021-11-03,28,4,13,10,0,"Project Creation, Task Creation, Advanced Reports"
208,2023-09-11,46,5,2,7,0,"Attachments, Automations"
601,2024-11-14,8,0,79,3,0,"Task Creation, Comments"
225,2024-02-03,32,1,15,4,0,"Project Creation, Advanced Reports, SSO"
347,2023-09-15,22,5,31,2,0,"Attachments, Comments, SSO"
423,2023-08-11,18,5,33,9,0,Comments
525,2023-07-03,6,1,40,5,1,"Task Creation, Attachments, API Access, Advanced Reports"
1000,2024-11-21,2,1,46,19,1,"Project Creation, Comments, Attachments"
699,2024-10-30,0,6,69,6,0,"Project Creation, Comments, Automations"
609,2025-08-21,20,5,98,8,0,"Comments, Project Creation, Advanced Reports, API Access"
378,2021-05-25,41,7,56,11,2,"Attachments, Project Creation, API Access"
438,2021-12-08,24,6,96,19,0,"Task Creation, Dashboards, Automations"
768,2021-04-14,7,3,36,9,0,"Attachments, Task Creation, SSO, API Access"
4,2026-06-30,13,10,11,19,1,"Task Creation, Automations, Dashboards"
897,2022-02-17,19,2,38,4,0,Comments
917,2024-01-08,10,6,56,13,5,"Comments, API Access"
339,2023-06-30,43,3,36,2,0,"Attachments, Project Creation"
804,2024-03-01,9,6,54,8,0,"Project Creation, SSO"
