customer_id,contracting_date,plan,mrr,segment
1,2021-05-18,Pro,185.47,Mid-Market
2,2023-06-24,Enterprise,1558.07,Enterprise
3,2023-03-05,Enterprise,1072.58,Enterprise
4,2020-10-31,Pro,218.26,Mid-Market
5,2023-10-14,Pro,417.91,Enterprise
6,2022-11-19,Pro,147.79,Mid-Market
7,2023-09-28,Pro,110.94,Mid-Market
8,2021-04-03,Pro,147.11,SMB
9,2020-02-12,Enterprise,1392.91,SMB
10,2022-12-09,Enterprise,635.34,Mid-Market
11,2022-12-07,Basic,46.9,SMB
12,2022-01-21,Pro,329.87,Enterprise
13,2022-05-07,Basic,65.36,SMB
14,2022-04-26,Basic,69.8,Mid-Market
15,2023-11-05,Basic,74.88,Enterprise
16,2020-09-18,Enterprise,837.92,SMB
17,2022-04-10,Enterprise,990.27,SMB
18,2020-01-24,Pro,377.87,SMB
19,2020-05-20,Enterprise,1229.59,Mid-Market
20,2020-09-02,Basic,76.83,SMB
21,2020-12-18,Basic,67.7,SMB
22,2021-10-19,Basic,59.93,SMB
23,2023-12-17,Enterprise,1916.12,SMB
24,2020-02-13,Enterprise,1809.55,SMB
25,2023-12-02,Enterprise,1188.62,Enterprise
26,2023-11-20,Pro,101.91,SMB
27,2022-09-06,Pro,453.18,Mid-Market
28,2021-08-25,Pro,365.66,SMB
29,2023-03-07,Pro,486.9,Mid-Market
30,2020-09-26,Enterprise,1288.47,Mid-Market
31,2023-09-14,Enterprise,1482.82,Enterprise
32,2020-10-06,Enterprise,1822.63,Mid-Market
33,2020-02-05,Enterprise,1026.47,Enterprise
34,2021-08-15,Enterprise,1707.89,Enterprise
35,2023-11-05,Pro,204.56,Mid-Market
36,2021-10-21,Pro,172.62,Mid-Market
37,2023-02-04,Basic,71.72,SMB
38,2022-12-29,Pro,352.93,Mid-Market
39,2022-10-16,Pro,260.85,SMB
40,2023-06-12,Basic,40.24,Enterprise
41,2021-11-29,Basic,95.06,Mid-Market
42,2021-06-18,Enterprise,1376.93,Enterprise
43,2023-12-12,Basic,59.69,Mid-Market
44,2020-11-17,Basic,60.93,SMB
45,2022-07-09,Basic,24.7,Mid-Market
