customer_id,event_date,logins_last_week,projects_created,finished_tasks,active_users,num_opened_tickets,most_used_features
769,2022-03-08,33,2,96,20,0,"Project Creation, Comments, Dashboards, Automations"
323,2023-11-23,21,1,28,19,0,"Attachments, Automations"
550,2024-01-24,6,1,42,13,0,Attachments
861,2025-06-09,47,10,59,11,4,"Comments, API Access"
510,2023-06-30,45,4,49,8,0,"Comments, Permission Control, Dashboards"
433,2024-09-24,36,10,8,3,2,"Attachments, Comments, Permission Control, Dashboards"
158,2020-07-12,38,3,39,12,0,"Project Creation, Attachments, API Access, Advanced Reports"
246,2023-01-02,4,9,51,14,1,"Task Creation, Automations, Dashboards"
637,2024-08-15,7,9,100,13,5,"Attachments, Comments, SSO, API Access"
399,2025-10-18,23,6,27,1,0,"Attachments, Comments, Task Creation"
106,2023-07-23,30,7,35,6,0,"Attachments, Comments, Project Creation"
778,2026-04-19,49,8,14,17,0,"Project Creation, Task Creation, Comments"
377,2025-07-23,50,4,97,10,0,"Project Creation, Comments, Task Creation"
496,2023-05-02,37,10,54,18,0,"Attachments, Automations"
477,2021-04-11,45,1,32,18,0,"Comments, API Access"
953,2023-02-09,36,7,72,13,1,"Attachments, API Access, Advanced Reports"
816,2025-06-27,33,3,1,20,0,"Attachments, Comments"
730,2023-12-11,11,9,8,10,0,"Task Creation, Attachments, Comments"
403,2020-07-27,38,3,10,13,0,"Project Creation, Comments, Attachments"
569,2022-01-25,14,4,12,4,0,"Project Creation, Attachments, Dashboards"
610,2022-10-08,49,9,60,14,0,"Attachments, Dashboards"
625,2025-06-02,30,10,30,19,0,"Project Creation, Task Creation, Dashboards, Permission Control"
470,2024-03-05,11,7,93,4,0,"Task Creation, Attachments, Comments"
743,2021-03-04,31,4,58,18,0,"Project Creation, Task Creation, Permission Control"
471,2020-06-26,21,2,96,6,0,"Attachments, Permission Control"
864,2020-09-30,24,10,79,10,2,"Attachments, SSO, Advanced Reports"
661,2023-02-26,12,10,29,12,0,"Project Creation, Task Creation, Attachments"
936,2024-12-20,1,9,41,10,0,"Comments, Attachments, API Access, Advanced Reports"
638,2026-11-13,31,9,76,10,0,"Project Creation, Advanced Reports"
371,2026-03-26,19,4,13,9,0,"Attachments, Comments, API Access, Advanced Reports"
943,2024-10-12,15,5,66,1,0,"Comments, Task Creation, SSO, Advanced Reports"
192,2021-05-10,45,8,71,20,0,"Attachments, Project Creation, Automations, Permission Control"
215,2023-04-20,32,0,41,20,0,"Attachments, Permission Control, Automations"
667,2026-02-07,17,0,79,3,0,Comments
125,2021-11-26,22,6,0,4,2,"Task Creation, Project Creation, Dashboards"
795,2024-12-09,41,8,97,16,0,"Attachments, Dashboards"
306,2025-05-31,6,3,54,8,0,"Project Creation, Attachments, Comments"
242,2024-06-20,28,8,62,10,0,"Task Creation, Dashboards"
899,2026-07-24,35,3,93,10,0,"Task Creation, Advanced Reports"
345,2022-12-14,23,3,55,11,0,"Task Creation, Comments, Project Creation"
960,2021-10-29,43,4,32,16,0,"Task Creation, Comments"
155,2024-03-20,30,3,9,6,0,"Project Creation, Attachments"
195,2022-02-27,41,10,5,5,0,"Task Creation, Comments"
442,2025-04-15,35,3,51,12,0,"Task Creation, Comments"
615,2024-09-04,13,3,93,18,0,"Task Creation, SSO, Advanced Reports"
689,2025-02-07,0,0,81,14,2,"Comments, Project Creation, Permission Control, Automations"
477,2021-09-05,31,2,12,16,0,"Attachments, Task Creation, API Access, SSO"
979,2025-01-11,34,3,12,12,4,"Attachments, Advanced Reports"
291,2023-01-25,42,10,96,17,0,"Task Creation, Comments, Dashboards, Permission Control"
315,2023-09-07,2,3,65,9,0,"Comments, Task Creation, Attachments"
839,2026-04-08,47,7,74,7,0,Project Creation
970,2020-11-24,12,8,73,19,0,"Task Creation, Project Creation, Dashboards, Permission Control"
886,2020-08-30,19,0,11,18,0,"Comments, Project Creation, SSO, API Access"
285,2020-04-16,34,10,93,14,0,"Project Creation, Comments"
69,2021-11-25,26,4,32,20,0,"Project Creation, Automations, Permission Control"
466,2024-07-06,8,0,95,14,0,Attachments
480,2021-09-18,23,8,95,12,0,Task Creation
366,2023-06-19,34,0,8,10,0,"Project Creation, Comments, Task Creation"
865,2024-05-23,13,10,54,3,0,"Project Creation, Comments"
406,2022-09-25,47,8,68,4,5,"Attachments, Task Creation, Advanced Reports, SSO"
728,2023-12-01,38,5,52,16,0,"Project Creation, Attachments"
533,2023-06-19,39,9,41,7,0,"Comments, Automations, Dashboards"
140,2025-07-23,39,3,86,16,0,"Comments, Project Creation, Task Creation"
133,2024-05-11,49,10,34,10,0,Task Creation
33,2020-04-28,22,1,19,2,0,"Task Creation, API Access"
563,2026-04-08,27,4,41,15,0,"Attachments, Dashboards, Permission Control"
786,2024-09-15,1,10,51,14,2,"Attachments, Project Creation, API Access"
608,2024-11-19,14,0,31,19,0,"Task Creation, Comments"
