customer_id,feature
769,Project Creation
769,Comments
769,Dashboards
769,Automations
323,Attachments
323,Automations
550,Attachments
861,Comments
861,API Access
510,Comments
510,Permission Control
510,Dashboards
433,Attachments
433,Comments
433,Permission Control
433,Dashboards
158,Project Creation
158,Attachments
158,API Access
158,Advanced Reports
246,Task Creation
246,Automations
246,Dashboards
637,Attachments
637,Comments
637,SSO
637,API Access
399,Attachments
399,Comments
399,Task Creation
106,Attachments
106,Comments
106,Project Creation
778,Project Creation
778,Task Creation
778,Comments
377,Project Creation
377,Comments
377,Task Creation
496,Attachments
496,Automations
477,Comments
477,API Access
953,Attachments
953,API Access
953,Advanced Reports
816,Attachments
816,Comments
730,Task Creation
730,Attachments
730,Comments
403,Project Creation
403,Comments
403,Attachments
569,Project Creation
569,Attachments
569,Dashboards
610,Attachments
610,Dashboards
625,Project Creation
625,Task Creation
625,Dashboards
625,Permission Control
470,Task Creation
470,Attachments
470,Comments
743,Project Creation
743,Task Creation
743,Permission Control
471,Attachments
471,Permission Control
864,Attachments
864,SSO
864,Advanced Reports
661,Project Creation
661,Task Creation
661,Attachments
936,Comments
936,Attachments
936,API Access
936,Advanced Reports
638,Project Creation
638,Advanced Reports
371,Attachments
371,Comments
371,API Access
371,Advanced Reports
943,Comments
943,Task Creation
943,SSO
943,Advanced Reports
192,Attachments
192,Project Creation
192,Automations
192,Permission Control
215,Attachments
215,Permission Control
215,Automations
667,Comments
125,Task Creation
125,Project Creation
125,Dashboards
795,Attachments
795,Dashboards
306,Project Creation
306,Attachments
306,Comments
242,Task Creation
242,Dashboards
899,Task Creation
899,Advanced Reports
345,Task Creation
345,Comments
345,Project Creation
960,Task Creation
960,Comments
155,Project Creation
155,Attachments
195,Task Creation
195,Comments
442,Task Creation
442,Comments
615,Task Creation
615,SSO
615,Advanced Reports
689,Comments
689,Project Creation
689,Permission Control
689,Automations
477,Attachments
477,Task Creation
477,API Access
477,SSO
979,Attachments
979,Advanced Reports
291,Task Creation
291,Comments
291,Dashboards
291,Permission Control
315,Comments
315,Task Creation
315,Attachments
839,Project Creation
970,Task Creation
970,Project Creation
970,Dashboards
970,Permission Control
886,Comments
886,Project Creation
886,SSO
886,API Access
285,Project Creation
285,Comments
69,Project Creation
69,Automations
69,Permission Control
466,Attachments
480,Task Creation
366,Project Creation
366,Comments
366,Task Creation
865,Project Creation
865,Comments
406,Attachments
406,Task Creation
406,Advanced Reports
406,SSO
728,Project Creation
728,Attachments
533,Comments
533,Automations
533,Dashboards
140,Comments
140,Project Creation
140,Task Creation
133,Task Creation
33,Task Creation
33,API Access
563,Attachments
563,Dashboards
563,Permission Control
786,Attachments
786,Project Creation
786,API Access
608,Task Creation
608,Comments
386,Attachments
386,Task Creation
386,API Access
386,Advanced Reports
752,Attachments
752,Task Creation
752,Comments
857,Attachments
857,Permission Control
857,Automations
956,Task Creation
956,Comments
857,Project Creation
857,Dashboards
857,Automations
81,Task Creation
51,Attachments
38,Project Creation
38,Automations
479,Project Creation
479,Comments
